id,name,label
1985312383,柯慕灵,九亿少女的梦
muxiaoxiong,牧小熊,武汉城市负责人
tomowang,tomo,
Hongru0306,HR,XiaoHR
li-xiu-qi,筱可,筱可
Leolee11111,小六一,萌弟
xwen111,星星,AIGCer星星
moyitech,Zeyu Wang,
jjyaoao,红花绿叶,Agent萌新
Bald0Wang,bald0wang,偷偷上分llm开发
LinChentang,林宸棠,嵌入式入门小学徒
yzy-fulture,小于,
Tangent-90C,tan90°,AI+大模型+网安+CS 啥都会一点
shadowings-zy,ZY,_(:3」∠)_
kjlintong,lintong,海猴
wxj630,蓝猫,"LLM, Knowledge Graph, Agent"
sanbuphy,散步,不会就学
Tsumugii24,姜舒凡,
SilverRiolu,SilverStar,
KMnO4-zx,不要葱姜蒜,chat-huanhuan、self-llm、happy-llm
